NFO:root:Ngrams range for the training run : 1
INFO:root:Loading Training data
INFO:root:Opening file fastText/data/ag_news.train for reading input
INFO:root:Vocabulary size: 95814
INFO:root:Training data converting to sequences...
INFO:root:Reading test dataset
INFO:root:Opening file fastText/data/ag_news.test for reading input
INFO:root:Encoding labels
INFO:root:Label mapping:{'__label__1': 0, '__label__2': 1, '__label__3': 2, '__label__4': 3}
INFO:root:Number of labels: 4
INFO:root:Initializing network
INFO:root:Running Training on ctx:gpu(0)
INFO:root:Number of output units in the last layer :4
INFO:root:Network initialized
INFO:root:Loss function for training:SoftmaxCrossEntropyLoss(batch_axis=0, w=None)
INFO:root:Epochs completed : 1 Test Accuracy: 0.8919736842105264, Test Loss: 0.3435315266251564
INFO:root:Epoch : 2, Batches complete :0
INFO:root:Epoch : 2, Batches complete :750
INFO:root:Epoch : 2, Batches complete :1500
INFO:root:Epoch : 2, Batches complete :2250
INFO:root:Epoch : 2, Batches complete :3000
INFO:root:Epoch : 2, Batches complete :3750
INFO:root:Epoch : 2, Batches complete :4500
INFO:root:Epoch : 2, Batches complete :5250
INFO:root:Epoch : 2, Batches complete :6000
INFO:root:Epoch : 2, Batches complete :6750
INFO:root:Epoch complete :2, Computing Accuracy
INFO:root:Epochs completed : 2 Test Accuracy: 0.8844736842105263, Test Loss: 0.35490143299102783
INFO:root:Epoch : 3, Batches complete :0
INFO:root:Epoch : 3, Batches complete :750
INFO:root:Epoch : 3, Batches complete :1500
INFO:root:Epoch : 3, Batches complete :2250
INFO:root:Epoch : 3, Batches complete :3000
INFO:root:Epoch : 3, Batches complete :3750
INFO:root:Epoch : 3, Batches complete :4500
INFO:root:Epoch : 3, Batches complete :5250
INFO:root:Epoch : 3, Batches complete :6000
INFO:root:Epoch : 3, Batches complete :6750
INFO:root:Epoch complete :3, Computing Accuracy
INFO:root:Epochs completed : 3 Test Accuracy: 0.9018421052631579, Test Loss: 0.3105466142296791
INFO:root:Epoch : 4, Batches complete :0
INFO:root:Epoch : 4, Batches complete :750
INFO:root:Epoch : 4, Batches complete :1500
INFO:root:Epoch : 4, Batches complete :2250
INFO:root:Epoch : 4, Batches complete :3000
INFO:root:Epoch : 4, Batches complete :3750
INFO:root:Epoch : 4, Batches complete :4500
INFO:root:Epoch : 4, Batches complete :5250
INFO:root:Epoch : 4, Batches complete :6000
INFO:root:Epoch : 4, Batches complete :6750
INFO:root:Epoch complete :4, Computing Accuracy
INFO:root:Epochs completed : 4 Test Accuracy: 0.8989473684210526, Test Loss: 0.2917391434311867
INFO:root:Epoch : 5, Batches complete :0
INFO:root:Epoch : 5, Batches complete :750
INFO:root:Epoch : 5, Batches complete :1500
INFO:root:Epoch : 5, Batches complete :2250
INFO:root:Epoch : 5, Batches complete :3000
INFO:root:Epoch : 5, Batches complete :3750
INFO:root:Epoch : 5, Batches complete :4500
INFO:root:Epoch : 5, Batches complete :5250
INFO:root:Epoch : 5, Batches complete :6000
INFO:root:Epoch : 5, Batches complete :6750
INFO:root:Epoch complete :5, Computing Accuracy
INFO:root:Epochs completed : 5 Test Accuracy: 0.9032894736842105, Test Loss: 0.277567557990551
INFO:root:Epoch : 6, Batches complete :0
INFO:root:Epoch : 6, Batches complete :750
INFO:root:Epoch : 6, Batches complete :1500
INFO:root:Epoch : 6, Batches complete :2250
INFO:root:Epoch : 6, Batches complete :3000
INFO:root:Epoch : 6, Batches complete :3750
INFO:root:Epoch : 6, Batches complete :4500
INFO:root:Epoch : 6, Batches complete :5250
INFO:root:Epoch : 6, Batches complete :6000
INFO:root:Epoch : 6, Batches complete :6750
INFO:root:Epoch complete :6, Computing Accuracy
INFO:root:Epochs completed : 6 Test Accuracy: 0.905921052631579, Test Loss: 0.2719111517071724
INFO:root:Epoch : 7, Batches complete :0
INFO:root:Epoch : 7, Batches complete :750
INFO:root:Epoch : 7, Batches complete :1500
INFO:root:Epoch : 7, Batches complete :2250
INFO:root:Epoch : 7, Batches complete :3000
INFO:root:Epoch : 7, Batches complete :3750
INFO:root:Epoch : 7, Batches complete :4500
INFO:root:Epoch : 7, Batches complete :5250
INFO:root:Epoch : 7, Batches complete :6000
INFO:root:Epoch : 7, Batches complete :6750
INFO:root:Epoch complete :7, Computing Accuracy
INFO:root:Epochs completed : 7 Test Accuracy: 0.9088157894736842, Test Loss: 0.26787755638360977
INFO:root:Epoch : 8, Batches complete :0
INFO:root:Epoch : 8, Batches complete :750
INFO:root:Epoch : 8, Batches complete :1500
INFO:root:Epoch : 8, Batches complete :2250
INFO:root:Epoch : 8, Batches complete :3000
INFO:root:Epoch : 8, Batches complete :3750
INFO:root:Epoch : 8, Batches complete :4500
INFO:root:Epoch : 8, Batches complete :5250
INFO:root:Epoch : 8, Batches complete :6000
INFO:root:Epoch : 8, Batches complete :6750
INFO:root:Epoch complete :8, Computing Accuracy
INFO:root:Epochs completed : 8 Test Accuracy: 0.9089473684210526, Test Loss: 0.2658883258700371
INFO:root:Epoch : 9, Batches complete :0
INFO:root:Epoch : 9, Batches complete :750
INFO:root:Epoch : 9, Batches complete :1500
INFO:root:Epoch : 9, Batches complete :2250
INFO:root:Epoch : 9, Batches complete :3000
INFO:root:Epoch : 9, Batches complete :3750
INFO:root:Epoch : 9, Batches complete :4500
INFO:root:Epoch : 9, Batches complete :5250
INFO:root:Epoch : 9, Batches complete :6000
INFO:root:Epoch : 9, Batches complete :6750
INFO:root:Epoch complete :9, Computing Accuracy
INFO:root:Epochs completed : 9 Test Accuracy: 0.9101315789473684, Test Loss: 0.26578377932310104
INFO:root:Epoch : 10, Batches complete :0
INFO:root:Epoch : 10, Batches complete :750
INFO:root:Epoch : 10, Batches complete :1500
INFO:root:Epoch : 10, Batches complete :2250
INFO:root:Epoch : 10, Batches complete :3000
INFO:root:Epoch : 10, Batches complete :3750
INFO:root:Epoch : 10, Batches complete :4500
INFO:root:Epoch : 10, Batches complete :5250
INFO:root:Epoch : 10, Batches complete :6000
INFO:root:Epoch : 10, Batches complete :6750
INFO:root:Epoch complete :10, Computing Accuracy
INFO:root:Epochs completed : 10 Test Accuracy: 0.9107894736842105, Test Loss: 0.265712708234787
INFO:root:Epoch : 11, Batches complete :0
INFO:root:Epoch : 11, Batches complete :750
INFO:root:Epoch : 11, Batches complete :1500
INFO:root:Epoch : 11, Batches complete :2250
INFO:root:Epoch : 11, Batches complete :3000
INFO:root:Epoch : 11, Batches complete :3750
INFO:root:Epoch : 11, Batches complete :4500
INFO:root:Epoch : 11, Batches complete :5250
INFO:root:Epoch : 11, Batches complete :6000
INFO:root:Epoch : 11, Batches complete :6750
INFO:root:Epoch complete :11, Computing Accuracy
INFO:root:Epochs completed : 11 Test Accuracy: 0.9101315789473684, Test Loss: 0.26596125215291977
INFO:root:Epoch : 12, Batches complete :0
INFO:root:Epoch : 12, Batches complete :750
INFO:root:Epoch : 12, Batches complete :1500
INFO:root:Epoch : 12, Batches complete :2250
INFO:root:Epoch : 12, Batches complete :3000
INFO:root:Epoch : 12, Batches complete :3750
INFO:root:Epoch : 12, Batches complete :4500
INFO:root:Epoch : 12, Batches complete :5250
INFO:root:Epoch : 12, Batches complete :6000
INFO:root:Epoch : 12, Batches complete :6750
INFO:root:Epoch complete :12, Computing Accuracy
INFO:root:Epochs completed : 12 Test Accuracy: 0.9096052631578947, Test Loss: 0.2660171762108803
INFO:root:Epoch : 13, Batches complete :0
INFO:root:Epoch : 13, Batches complete :750
INFO:root:Epoch : 13, Batches complete :1500
INFO:root:Epoch : 13, Batches complete :2250
INFO:root:Epoch : 13, Batches complete :3000
INFO:root:Epoch : 13, Batches complete :3750
INFO:root:Epoch : 13, Batches complete :4500
INFO:root:Epoch : 13, Batches complete :5250
INFO:root:Epoch : 13, Batches complete :6000
INFO:root:Epoch : 13, Batches complete :6750
INFO:root:Epoch complete :13, Computing Accuracy
INFO:root:Epochs completed : 13 Test Accuracy: 0.9096052631578947, Test Loss: 0.26602624356746674
INFO:root:Epoch : 14, Batches complete :0
INFO:root:Epoch : 14, Batches complete :750
INFO:root:Epoch : 14, Batches complete :1500
INFO:root:Epoch : 14, Batches complete :2250
INFO:root:Epoch : 14, Batches complete :3000
INFO:root:Epoch : 14, Batches complete :3750
INFO:root:Epoch : 14, Batches complete :4500
INFO:root:Epoch : 14, Batches complete :5250
INFO:root:Epoch : 14, Batches complete :6000
INFO:root:Epoch : 14, Batches complete :6750
INFO:root:Epoch complete :14, Computing Accuracy
INFO:root:Epochs completed : 14 Test Accuracy: 0.9097368421052632, Test Loss: 0.266008622944355
INFO:root:Epoch : 15, Batches complete :0
INFO:root:Epoch : 15, Batches complete :750
INFO:root:Epoch : 15, Batches complete :1500
INFO:root:Epoch : 15, Batches complete :2250
INFO:root:Epoch : 15, Batches complete :3000
INFO:root:Epoch : 15, Batches complete :3750
INFO:root:Epoch : 15, Batches complete :4500
INFO:root:Epoch : 15, Batches complete :5250
INFO:root:Epoch : 15, Batches complete :6000
INFO:root:Epoch : 15, Batches complete :6750
INFO:root:Epoch complete :15, Computing Accuracy
INFO:root:Epochs completed : 15 Test Accuracy: 0.9097368421052632, Test Loss: 0.2660045027732849
INFO:root:Epoch : 16, Batches complete :0
INFO:root:Epoch : 16, Batches complete :750
INFO:root:Epoch : 16, Batches complete :1500
INFO:root:Epoch : 16, Batches complete :2250
INFO:root:Epoch : 16, Batches complete :3000
INFO:root:Epoch : 16, Batches complete :3750
INFO:root:Epoch : 16, Batches complete :4500
INFO:root:Epoch : 16, Batches complete :5250
INFO:root:Epoch : 16, Batches complete :6000
INFO:root:Epoch : 16, Batches complete :6750
INFO:root:Epoch complete :16, Computing Accuracy
INFO:root:Epochs completed : 16 Test Accuracy: 0.9097368421052632, Test Loss: 0.2660120502114296
INFO:root:Epoch : 17, Batches complete :0
INFO:root:Epoch : 17, Batches complete :750
INFO:root:Epoch : 17, Batches complete :1500
INFO:root:Epoch : 17, Batches complete :2250
INFO:root:Epoch : 17, Batches complete :3000
INFO:root:Epoch : 17, Batches complete :3750
INFO:root:Epoch : 17, Batches complete :4500
INFO:root:Epoch : 17, Batches complete :5250
INFO:root:Epoch : 17, Batches complete :6000
INFO:root:Epoch : 17, Batches complete :6750
INFO:root:Epoch complete :17, Computing Accuracy
INFO:root:Epochs completed : 17 Test Accuracy: 0.9097368421052632, Test Loss: 0.2660161182284355
INFO:root:Epoch : 18, Batches complete :0
INFO:root:Epoch : 18, Batches complete :750
INFO:root:Epoch : 18, Batches complete :1500
INFO:root:Epoch : 18, Batches complete :2250
INFO:root:Epoch : 18, Batches complete :3000
INFO:root:Epoch : 18, Batches complete :3750
INFO:root:Epoch : 18, Batches complete :4500
INFO:root:Epoch : 18, Batches complete :5250
INFO:root:Epoch : 18, Batches complete :6000
INFO:root:Epoch : 18, Batches complete :6750
INFO:root:Epoch complete :18, Computing Accuracy
INFO:root:Epochs completed : 18 Test Accuracy: 0.9097368421052632, Test Loss: 0.26601601392030716
INFO:root:Epoch : 19, Batches complete :0
INFO:root:Epoch : 19, Batches complete :750
INFO:root:Epoch : 19, Batches complete :1500
INFO:root:Epoch : 19, Batches complete :2250
INFO:root:Epoch : 19, Batches complete :3000
INFO:root:Epoch : 19, Batches complete :3750
INFO:root:Epoch : 19, Batches complete :4500
INFO:root:Epoch : 19, Batches complete :5250
INFO:root:Epoch : 19, Batches complete :6000
INFO:root:Epoch : 19, Batches complete :6750
INFO:root:Epoch complete :19, Computing Accuracy
INFO:root:Epochs completed : 19 Test Accuracy: 0.9097368421052632, Test Loss: 0.2660166919231415
INFO:root:Epoch : 20, Batches complete :0
INFO:root:Epoch : 20, Batches complete :750
INFO:root:Epoch : 20, Batches complete :1500
INFO:root:Epoch : 20, Batches complete :2250
INFO:root:Epoch : 20, Batches complete :3000
INFO:root:Epoch : 20, Batches complete :3750
INFO:root:Epoch : 20, Batches complete :4500
INFO:root:Epoch : 20, Batches complete :5250
INFO:root:Epoch : 20, Batches complete :6000
INFO:root:Epoch : 20, Batches complete :6750
INFO:root:Epoch complete :20, Computing Accuracy
INFO:root:Epochs completed : 20 Test Accuracy: 0.9097368421052632, Test Loss: 0.26601699739694595
INFO:root:Epoch : 21, Batches complete :0
INFO:root:Epoch : 21, Batches complete :750
INFO:root:Epoch : 21, Batches complete :1500
INFO:root:Epoch : 21, Batches complete :2250
INFO:root:Epoch : 21, Batches complete :3000
INFO:root:Epoch : 21, Batches complete :3750
INFO:root:Epoch : 21, Batches complete :4500
INFO:root:Epoch : 21, Batches complete :5250
INFO:root:Epoch : 21, Batches complete :6000
INFO:root:Epoch : 21, Batches complete :6750
INFO:root:Epoch complete :21, Computing Accuracy
INFO:root:Epochs completed : 21 Test Accuracy: 0.9097368421052632, Test Loss: 0.2660171613097191
INFO:root:Epoch : 22, Batches complete :0
INFO:root:Epoch : 22, Batches complete :750
INFO:root:Epoch : 22, Batches complete :1500
INFO:root:Epoch : 22, Batches complete :2250
INFO:root:Epoch : 22, Batches complete :3000
INFO:root:Epoch : 22, Batches complete :3750
INFO:root:Epoch : 22, Batches complete :4500
INFO:root:Epoch : 22, Batches complete :5250
INFO:root:Epoch : 22, Batches complete :6000
INFO:root:Epoch : 22, Batches complete :6750
INFO:root:Epoch complete :22, Computing Accuracy
INFO:root:Epochs completed : 22 Test Accuracy: 0.9097368421052632, Test Loss: 0.26601725816726685
INFO:root:Epoch : 23, Batches complete :0
INFO:root:Epoch : 23, Batches complete :750
INFO:root:Epoch : 23, Batches complete :1500
INFO:root:Epoch : 23, Batches complete :2250
INFO:root:Epoch : 23, Batches complete :3000
INFO:root:Epoch : 23, Batches complete :3750
INFO:root:Epoch : 23, Batches complete :4500
INFO:root:Epoch : 23, Batches complete :5250
INFO:root:Epoch : 23, Batches complete :6000
INFO:root:Epoch : 23, Batches complete :6750
INFO:root:Epoch complete :23, Computing Accuracy
INFO:root:Epochs completed : 23 Test Accuracy: 0.9097368421052632, Test Loss: 0.26601728796958923
INFO:root:Epoch : 24, Batches complete :0
INFO:root:Epoch : 24, Batches complete :750
INFO:root:Epoch : 24, Batches complete :1500
INFO:root:Epoch : 24, Batches complete :2250
INFO:root:Epoch : 24, Batches complete :3000
INFO:root:Epoch : 24, Batches complete :3750
INFO:root:Epoch : 24, Batches complete :4500
INFO:root:Epoch : 24, Batches complete :5250
INFO:root:Epoch : 24, Batches complete :6000
INFO:root:Epoch : 24, Batches complete :6750
INFO:root:Epoch complete :24, Computing Accuracy
INFO:root:Epochs completed : 24 Test Accuracy: 0.9097368421052632, Test Loss: 0.266017310321331
