Namespace(batch_size=8, dataset='coco', disable_hybridization=False, epochs=26, gpus='0,1,2,3,4,5,6,7', log_interval=100, lr=0.01, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=1000.0, momentum=0.9, network='resnet101_v1d', num_workers=8, resume='', save_interval=1, save_prefix='mask_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=2, verbose=True, wd=0.0001)
Trainable parameters:
odict_keys(['resnetv1d_layers2_conv0_weight', 'resnetv1d_layers2_conv1_weight', 'resnetv1d_layers2_conv2_weight', 'resnetv1d_down2_conv0_weight', 'resnetv1d_layers2_conv3_weight', 'resnetv1d_layers2_conv4_weight', 'resnetv1d_layers2_conv5_weight', 'resnetv1d_layers2_conv6_weight', 'resnetv1d_layers2_conv7_weight', 'resnetv1d_layers2_conv8_weight', 'resnetv1d_layers2_conv9_weight', 'resnetv1d_layers2_conv10_weight', 'resnetv1d_layers2_conv11_weight', 'resnetv1d_layers3_conv0_weight', 'resnetv1d_layers3_conv1_weight', 'resnetv1d_layers3_conv2_weight', 'resnetv1d_down3_conv0_weight', 'resnetv1d_layers3_conv3_weight', 'resnetv1d_layers3_conv4_weight', 'resnetv1d_layers3_conv5_weight', 'resnetv1d_layers3_conv6_weight', 'resnetv1d_layers3_conv7_weight', 'resnetv1d_layers3_conv8_weight', 'resnetv1d_layers3_conv9_weight', 'resnetv1d_layers3_conv10_weight', 'resnetv1d_layers3_conv11_weight', 'resnetv1d_layers3_conv12_weight', 'resnetv1d_layers3_conv13_weight', 'resnetv1d_layers3_conv14_weight', 'resnetv1d_layers3_conv15_weight', 'resnetv1d_layers3_conv16_weight', 'resnetv1d_layers3_conv17_weight', 'resnetv1d_layers3_conv18_weight', 'resnetv1d_layers3_conv19_weight', 'resnetv1d_layers3_conv20_weight', 'resnetv1d_layers3_conv21_weight', 'resnetv1d_layers3_conv22_weight', 'resnetv1d_layers3_conv23_weight', 'resnetv1d_layers3_conv24_weight', 'resnetv1d_layers3_conv25_weight', 'resnetv1d_layers3_conv26_weight', 'resnetv1d_layers3_conv27_weight', 'resnetv1d_layers3_conv28_weight', 'resnetv1d_layers3_conv29_weight', 'resnetv1d_layers3_conv30_weight', 'resnetv1d_layers3_conv31_weight', 'resnetv1d_layers3_conv32_weight', 'resnetv1d_layers3_conv33_weight', 'resnetv1d_layers3_conv34_weight', 'resnetv1d_layers3_conv35_weight', 'resnetv1d_layers3_conv36_weight', 'resnetv1d_layers3_conv37_weight', 'resnetv1d_layers3_conv38_weight', 'resnetv1d_layers3_conv39_weight', 'resnetv1d_layers3_conv40_weight', 'resnetv1d_layers3_conv41_weight', 'resnetv1d_layers3_conv42_weight', 'resnetv1d_layers3_conv43_weight', 'resnetv1d_layers3_conv44_weight', 'resnetv1d_layers3_conv45_weight', 'resnetv1d_layers3_conv46_weight', 'resnetv1d_layers3_conv47_weight', 'resnetv1d_layers3_conv48_weight', 'resnetv1d_layers3_conv49_weight', 'resnetv1d_layers3_conv50_weight', 'resnetv1d_layers3_conv51_weight', 'resnetv1d_layers3_conv52_weight', 'resnetv1d_layers3_conv53_weight', 'resnetv1d_layers3_conv54_weight', 'resnetv1d_layers3_conv55_weight', 'resnetv1d_layers3_conv56_weight', 'resnetv1d_layers3_conv57_weight', 'resnetv1d_layers3_conv58_weight', 'resnetv1d_layers3_conv59_weight', 'resnetv1d_layers3_conv60_weight', 'resnetv1d_layers3_conv61_weight', 'resnetv1d_layers3_conv62_weight', 'resnetv1d_layers3_conv63_weight', 'resnetv1d_layers3_conv64_weight', 'resnetv1d_layers3_conv65_weight', 'resnetv1d_layers3_conv66_weight', 'resnetv1d_layers3_conv67_weight', 'resnetv1d_layers3_conv68_weight', 'resnetv1d_layers4_conv0_weight', 'resnetv1d_layers4_conv1_weight', 'resnetv1d_layers4_conv2_weight', 'resnetv1d_down4_conv0_weight', 'resnetv1d_layers4_conv3_weight', 'resnetv1d_layers4_conv4_weight', 'resnetv1d_layers4_conv5_weight', 'resnetv1d_layers4_conv6_weight', 'resnetv1d_layers4_conv7_weight', 'resnetv1d_layers4_conv8_weight', 'maskrcnn0_dense0_weight', 'maskrcnn0_dense0_bias', 'maskrcnn0_dense1_weight', 'maskrcnn0_dense1_bias', 'maskrcnn0_rpn0_rpnanchorgenerator0_anchor_', 'maskrcnn0_rpn0_conv0_weight', 'maskrcnn0_rpn0_conv0_bias', 'maskrcnn0_rpn0_conv1_weight', 'maskrcnn0_rpn0_conv1_bias', 'maskrcnn0_rpn0_conv2_weight', 'maskrcnn0_rpn0_conv2_bias', 'maskrcnn0_mask0_conv0_weight', 'maskrcnn0_mask0_conv0_bias', 'maskrcnn0_mask0_conv1_weight', 'maskrcnn0_mask0_conv1_bias'])
Start training from [Epoch 0]
[Epoch 0 Iteration 0] Set learning rate to 0.003333333333333333
[Epoch 0][Batch 99], Speed: 5.582 samples/sec, RPN_Conf=0.326,RPN_SmoothL1=0.154,RCNN_CrossEntropy=1.129,RCNN_SmoothL1=0.324,RCNN_Mask=0.674,RPNAcc=0.879,RPNL1Loss=0.621,RCNNAcc=0.821,RCNNL1Loss=1.968,MaskAcc=0.601,MaskFGAcc=0.579
[Epoch 0][Batch 1499], Speed: 9.940 samples/sec, RPN_Conf=0.190,RPN_SmoothL1=0.134,RCNN_CrossEntropy=0.824,RCNN_SmoothL1=0.403,RCNN_Mask=0.486,RPNAcc=0.924,RPNL1Loss=0.524,RCNNAcc=0.812,RCNNL1Loss=1.928,MaskAcc=0.761,MaskFGAcc=0.576
[Epoch 0][Batch 1599], Speed: 10.014 samples/sec, RPN_Conf=0.188,RPN_SmoothL1=0.133,RCNN_CrossEntropy=0.814,RCNN_SmoothL1=0.400,RCNN_Mask=0.482,RPNAcc=0.924,RPNL1Loss=0.522,RCNNAcc=0.813,RCNNL1Loss=1.908,MaskAcc=0.764,MaskFGAcc=0.574
[Epoch 0][Batch 1699], Speed: 10.113 samples/sec, RPN_Conf=0.185,RPN_SmoothL1=0.132,RCNN_CrossEntropy=0.804,RCNN_SmoothL1=0.397,RCNN_Mask=0.478,RPNAcc=0.926,RPNL1Loss=0.518,RCNNAcc=0.813,RCNNL1Loss=1.889,MaskAcc=0.766,MaskFGAcc=0.573
[Epoch 0][Batch 1799], Speed: 10.151 samples/sec, RPN_Conf=0.184,RPN_SmoothL1=0.131,RCNN_CrossEntropy=0.795,RCNN_SmoothL1=0.394,RCNN_Mask=0.473,RPNAcc=0.926,RPNL1Loss=0.515,RCNNAcc=0.814,RCNNL1Loss=1.867,MaskAcc=0.769,MaskFGAcc=0.572
[Epoch 0][Batch 1899], Speed: 9.997 samples/sec, RPN_Conf=0.182,RPN_SmoothL1=0.131,RCNN_CrossEntropy=0.788,RCNN_SmoothL1=0.392,RCNN_Mask=0.469,RPNAcc=0.927,RPNL1Loss=0.512,RCNNAcc=0.815,RCNNL1Loss=1.849,MaskAcc=0.772,MaskFGAcc=0.572
[Epoch 0][Batch 1999], Speed: 10.187 samples/sec, RPN_Conf=0.180,RPN_SmoothL1=0.130,RCNN_CrossEntropy=0.780,RCNN_SmoothL1=0.389,RCNN_Mask=0.466,RPNAcc=0.928,RPNL1Loss=0.510,RCNNAcc=0.816,RCNNL1Loss=1.831,MaskAcc=0.774,MaskFGAcc=0.571
[Epoch 0][Batch 2099], Speed: 9.882 samples/sec, RPN_Conf=0.179,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.773,RCNN_SmoothL1=0.386,RCNN_Mask=0.463,RPNAcc=0.928,RPNL1Loss=0.508,RCNNAcc=0.817,RCNNL1Loss=1.815,MaskAcc=0.776,MaskFGAcc=0.570
[Epoch 0][Batch 2199], Speed: 10.114 samples/sec, RPN_Conf=0.177,RPN_SmoothL1=0.129,RCNN_CrossEntropy=0.765,RCNN_SmoothL1=0.383,RCNN_Mask=0.460,RPNAcc=0.929,RPNL1Loss=0.506,RCNNAcc=0.817,RCNNL1Loss=1.798,MaskAcc=0.778,MaskFGAcc=0.569
[Epoch 0][Batch 2299], Speed: 10.232 samples/sec, RPN_Conf=0.176,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.759,RCNN_SmoothL1=0.381,RCNN_Mask=0.457,RPNAcc=0.930,RPNL1Loss=0.504,RCNNAcc=0.818,RCNNL1Loss=1.782,MaskAcc=0.780,MaskFGAcc=0.569
[Epoch 0][Batch 2399], Speed: 10.295 samples/sec, RPN_Conf=0.174,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.752,RCNN_SmoothL1=0.378,RCNN_Mask=0.454,RPNAcc=0.930,RPNL1Loss=0.502,RCNNAcc=0.818,RCNNL1Loss=1.767,MaskAcc=0.782,MaskFGAcc=0.568
[Epoch 0][Batch 2499], Speed: 10.044 samples/sec, RPN_Conf=0.173,RPN_SmoothL1=0.128,RCNN_CrossEntropy=0.746,RCNN_SmoothL1=0.376,RCNN_Mask=0.451,RPNAcc=0.931,RPNL1Loss=0.500,RCNNAcc=0.819,RCNNL1Loss=1.753,MaskAcc=0.784,MaskFGAcc=0.568
[Epoch 0][Batch 2599], Speed: 10.029 samples/sec, RPN_Conf=0.171,RPN_SmoothL1=0.127,RCNN_CrossEntropy=0.740,RCNN_SmoothL1=0.373,RCNN_Mask=0.449,RPNAcc=0.932,RPNL1Loss=0.499,RCNNAcc=0.820,RCNNL1Loss=1.740,MaskAcc=0.786,MaskFGAcc=0.567
[Epoch 0][Batch 2699], Speed: 10.088 samples/sec, RPN_Conf=0.170,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.734,RCNN_SmoothL1=0.371,RCNN_Mask=0.446,RPNAcc=0.932,RPNL1Loss=0.497,RCNNAcc=0.821,RCNNL1Loss=1.726,MaskAcc=0.787,MaskFGAcc=0.567
[Epoch 0][Batch 2799], Speed: 10.144 samples/sec, RPN_Conf=0.169,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.728,RCNN_SmoothL1=0.369,RCNN_Mask=0.444,RPNAcc=0.933,RPNL1Loss=0.495,RCNNAcc=0.821,RCNNL1Loss=1.714,MaskAcc=0.788,MaskFGAcc=0.566
[Epoch 0][Batch 2899], Speed: 9.983 samples/sec, RPN_Conf=0.168,RPN_SmoothL1=0.126,RCNN_CrossEntropy=0.723,RCNN_SmoothL1=0.367,RCNN_Mask=0.442,RPNAcc=0.933,RPNL1Loss=0.492,RCNNAcc=0.822,RCNNL1Loss=1.702,MaskAcc=0.790,MaskFGAcc=0.566
[Epoch 0][Batch 2999], Speed: 10.234 samples/sec, RPN_Conf=0.166,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.718,RCNN_SmoothL1=0.365,RCNN_Mask=0.440,RPNAcc=0.934,RPNL1Loss=0.491,RCNNAcc=0.822,RCNNL1Loss=1.690,MaskAcc=0.791,MaskFGAcc=0.566
[Epoch 0][Batch 3099], Speed: 10.121 samples/sec, RPN_Conf=0.165,RPN_SmoothL1=0.125,RCNN_CrossEntropy=0.712,RCNN_SmoothL1=0.363,RCNN_Mask=0.438,RPNAcc=0.934,RPNL1Loss=0.489,RCNNAcc=0.823,RCNNL1Loss=1.678,MaskAcc=0.793,MaskFGAcc=0.566
[Epoch 0][Batch 3199], Speed: 9.762 samples/sec, RPN_Conf=0.164,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.707,RCNN_SmoothL1=0.361,RCNN_Mask=0.436,RPNAcc=0.935,RPNL1Loss=0.487,RCNNAcc=0.824,RCNNL1Loss=1.667,MaskAcc=0.794,MaskFGAcc=0.565
[Epoch 0][Batch 3299], Speed: 10.169 samples/sec, RPN_Conf=0.163,RPN_SmoothL1=0.124,RCNN_CrossEntropy=0.703,RCNN_SmoothL1=0.359,RCNN_Mask=0.434,RPNAcc=0.935,RPNL1Loss=0.485,RCNNAcc=0.824,RCNNL1Loss=1.656,MaskAcc=0.795,MaskFGAcc=0.565
[Epoch 0][Batch 3399], Speed: 9.933 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.699,RCNN_SmoothL1=0.358,RCNN_Mask=0.432,RPNAcc=0.935,RPNL1Loss=0.484,RCNNAcc=0.825,RCNNL1Loss=1.646,MaskAcc=0.796,MaskFGAcc=0.565
[Epoch 0][Batch 3499], Speed: 9.886 samples/sec, RPN_Conf=0.162,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.694,RCNN_SmoothL1=0.356,RCNN_Mask=0.431,RPNAcc=0.936,RPNL1Loss=0.482,RCNNAcc=0.825,RCNNL1Loss=1.636,MaskAcc=0.797,MaskFGAcc=0.564
[Epoch 0][Batch 3599], Speed: 10.006 samples/sec, RPN_Conf=0.161,RPN_SmoothL1=0.123,RCNN_CrossEntropy=0.690,RCNN_SmoothL1=0.354,RCNN_Mask=0.429,RPNAcc=0.936,RPNL1Loss=0.481,RCNNAcc=0.826,RCNNL1Loss=1.627,MaskAcc=0.798,MaskFGAcc=0.564
[Epoch 0][Batch 3699], Speed: 10.106 samples/sec, RPN_Conf=0.160,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.686,RCNN_SmoothL1=0.352,RCNN_Mask=0.428,RPNAcc=0.936,RPNL1Loss=0.480,RCNNAcc=0.826,RCNNL1Loss=1.618,MaskAcc=0.799,MaskFGAcc=0.564
[Epoch 0][Batch 3799], Speed: 9.972 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.682,RCNN_SmoothL1=0.351,RCNN_Mask=0.426,RPNAcc=0.937,RPNL1Loss=0.478,RCNNAcc=0.827,RCNNL1Loss=1.609,MaskAcc=0.800,MaskFGAcc=0.564
[Epoch 0][Batch 3899], Speed: 10.072 samples/sec, RPN_Conf=0.159,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.678,RCNN_SmoothL1=0.349,RCNN_Mask=0.424,RPNAcc=0.937,RPNL1Loss=0.477,RCNNAcc=0.827,RCNNL1Loss=1.601,MaskAcc=0.801,MaskFGAcc=0.563
[Epoch 0][Batch 3999], Speed: 10.200 samples/sec, RPN_Conf=0.158,RPN_SmoothL1=0.122,RCNN_CrossEntropy=0.675,RCNN_SmoothL1=0.348,RCNN_Mask=0.423,RPNAcc=0.937,RPNL1Loss=0.476,RCNNAcc=0.828,RCNNL1Loss=1.592,MaskAcc=0.802,MaskFGAcc=0.563
[Epoch 0][Batch 4099], Speed: 10.018 samples/sec, RPN_Conf=0.157,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.672,RCNN_SmoothL1=0.346,RCNN_Mask=0.422,RPNAcc=0.938,RPNL1Loss=0.475,RCNNAcc=0.828,RCNNL1Loss=1.584,MaskAcc=0.803,MaskFGAcc=0.563
[Epoch 0][Batch 4199], Speed: 10.094 samples/sec, RPN_Conf=0.156,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.668,RCNN_SmoothL1=0.345,RCNN_Mask=0.420,RPNAcc=0.938,RPNL1Loss=0.474,RCNNAcc=0.828,RCNNL1Loss=1.576,MaskAcc=0.804,MaskFGAcc=0.563
[Epoch 0][Batch 4299], Speed: 10.041 samples/sec, RPN_Conf=0.156,RPN_SmoothL1=0.121,RCNN_CrossEntropy=0.666,RCNN_SmoothL1=0.344,RCNN_Mask=0.419,RPNAcc=0.938,RPNL1Loss=0.473,RCNNAcc=0.829,RCNNL1Loss=1.570,MaskAcc=0.805,MaskFGAcc=0.563
[Epoch 0][Batch 4399], Speed: 10.128 samples/sec, RPN_Conf=0.155,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.662,RCNN_SmoothL1=0.342,RCNN_Mask=0.418,RPNAcc=0.939,RPNL1Loss=0.471,RCNNAcc=0.829,RCNNL1Loss=1.563,MaskAcc=0.805,MaskFGAcc=0.563
[Epoch 0][Batch 4499], Speed: 10.036 samples/sec, RPN_Conf=0.154,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.659,RCNN_SmoothL1=0.341,RCNN_Mask=0.417,RPNAcc=0.939,RPNL1Loss=0.471,RCNNAcc=0.830,RCNNL1Loss=1.555,MaskAcc=0.806,MaskFGAcc=0.562
[Epoch 0][Batch 4599], Speed: 9.967 samples/sec, RPN_Conf=0.154,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.657,RCNN_SmoothL1=0.340,RCNN_Mask=0.416,RPNAcc=0.939,RPNL1Loss=0.470,RCNNAcc=0.830,RCNNL1Loss=1.549,MaskAcc=0.807,MaskFGAcc=0.562
[Epoch 0][Batch 4699], Speed: 9.937 samples/sec, RPN_Conf=0.153,RPN_SmoothL1=0.120,RCNN_CrossEntropy=0.654,RCNN_SmoothL1=0.338,RCNN_Mask=0.415,RPNAcc=0.939,RPNL1Loss=0.469,RCNNAcc=0.830,RCNNL1Loss=1.542,MaskAcc=0.807,MaskFGAcc=0.562
[Epoch 0][Batch 4799], Speed: 10.214 samples/sec, RPN_Conf=0.152,RPN_SmoothL1=0.119,RCNN_CrossEntropy=0.651,RCNN_SmoothL1=0.337,RCNN_Mask=0.414,RPNAcc=0.940,RPNL1Loss=0.468,RCNNAcc=0.831,RCNNL1Loss=1.535,MaskAcc=0.808,MaskFGAcc=0.562
